Geneid	gene_name	control_R1	control_R2	control_R3	sox8_oe_R1	sox8_oe_R2	sox8_oe_R3
ENSGALG00000017312	PPME1	2178	3182	2168	2228	1098	1120
ENSGALG00000017314	NA	7	23	42	46	75	88
ENSGALG00000052611	NA	56	125	90	195	215	169
ENSGALG00000017316	UCP3	1	23	0	26	156	69
ENSGALG00000017317	DNAJB13	260	386	313	273	81	323
ENSGALG00000017318	PAAF1	1477	2123	1846	2144	998	1346
ENSGALG00000047542	COA4	260	517	338	445	242	192
ENSGALG00000017319	MRPL48	8996	10321	9539	10391	1831	2451
ENSGALG00000017320	RAB6A	16396	21714	17199	17464	9949	12290
ENSGALG00000017321	PLEKHB1	595	989	289	919	832	781
ENSGALG00000017323	FAM168A	408	823	490	497	375	404
ENSGALG00000044739	NA	0	0	0	0	0	0
ENSGALG00000049427	RELT	557	910	555	1191	1494	848
ENSGALG00000017326	ARHGEF17	23	36	81	35	145	96
ENSGALG00000017327	P2RY6	92	169	169	96	160	102
ENSGALG00000017329	FCHSD2	288	356	347	632	212	348
ENSGALG00000025198	gga-mir-1708	0	0	0	0	1	3
ENSGALG00000017330	RPS3	41630	69010	41370	50907	60794	49843
ENSGALG00000017817	RF00067	17	0	2	0	18	21
ENSGALG00000017818	RF00067	1	0	4	0	9	3
ENSGALG00000025564	RF00067	4	7	2	8	10	7
ENSGALG00000011214	SERPINH1	5602	5022	4733	8391	1596	1815
ENSGALG00000034967	GDPD5	288	205	195	848	918	684
ENSGALG00000017332	KLHL35	14	105	92	24	12	19
ENSGALG00000007441	MAP6	272	882	286	661	575	610
ENSGALG00000014170	MOGAT2	8	5	19	53	0	2
ENSGALG00000040418	DGAT2	187	294	227	170	184	73
ENSGALG00000032614	AT2	0	0	0	0	0	3
ENSGALG00000047087	NA	0	0	0	0	0	0
ENSGALG00000051726	NA	0	0	1	1	0	0
ENSGALG00000049536	NA	1	5	17	0	2	0
ENSGALG00000022702	CHRNA10	0	0	0	0	2	0
ENSGALG00000040018	NUP98	5011	6779	6429	4622	3557	4131
ENSGALG00000027762	PGAP2	2323	2919	1746	2392	1492	1305
ENSGALG00000026995	RHOG	39	81	36	78	53	76
ENSGALG00000041762	STIM1	172	743	277	477	1297	700
ENSGALG00000027982	NA	1	0	0	0	5	9
ENSGALG00000017350	RRM1	13938	18867	14499	20092	3801	5236
ENSGALG00000029040	NA	0	1	19	7	0	0
ENSGALG00000019030	NA	0	0	0	4	0	0
ENSGALG00000031533	NA	0	7	0	1	4	0
ENSGALG00000044591	OR51E2	1	2	10	1	5	7
ENSGALG00000053527	NA	0	0	2	0	0	1
ENSGALG00000054014	NA	0	0	0	0	0	1
ENSGALG00000053623	NA	0	0	8	10	20	0
ENSGALG00000048553	OR52R1	0	0	0	1	2	0
ENSGALG00000030885	OR51Q1	0	0	0	0	0	0
ENSGALG00000035309	HBBR	33	74	43	50	26	34
ENSGALG00000047152	HBBA	0	0	0	0	0	0
ENSGALG00000052767	NA	0	0	0	0	0	0
ENSGALG00000028273	HBE1	0	0	0	0	0	0
ENSGALG00000017347	HBBR	11	0	0	4	2	0
ENSGALG00000017343	FOLR1	0	0	0	0	1	6
ENSGALG00000017342	NA	40	7	28	17	19	1
ENSGALG00000044425	NA	0	0	0	2	1	0
ENSGALG00000017341	NA	1	3	0	0	1	0
ENSGALG00000017299	RPS11	20737	40582	23517	28219	54968	32001
ENSGALG00000021766	RF00211	10	25	31	20	61	22
ENSGALG00000021748	RF00211	7	20	36	11	58	32
ENSGALG00000003416	FAM160A2	30	28	31	13	89	84
ENSGALG00000022704	NA	2	19	8	0	58	44
ENSGALG00000039837	CCKBR	0	0	1	0	1	0
ENSGALG00000036106	SMPD1	248	521	245	292	1057	863
ENSGALG00000046164	APBB1	13	25	20	14	51	52
ENSGALG00000034004	TRIM3	3	39	16	37	38	14
ENSGALG00000037839	ARFIP2	1059	1648	1195	1960	3326	2475
ENSGALG00000042572	NA	2779	4320	3066	2807	1986	2100
ENSGALG00000017336	NA	199	487	269	250	858	599
ENSGALG00000048769	NA	5	15	14	5	112	43
ENSGALG00000031642	ILK	1191	2781	1600	2854	1579	1468
ENSGALG00000046371	NA	154	441	228	327	1347	650
ENSGALG00000029731	TPP1	771	3691	1168	3240	3057	3387
ENSGALG00000025438	gga-mir-1600	46	32	62	31	185	146
ENSGALG00000017334	NA	5	0	16	32	39	33
ENSGALG00000033819	NA	77	161	102	97	55	39
ENSGALG00000017333	LCMT2	845	949	833	1341	345	577
ENSGALG00000047728	NA	0	0	1	0	4	0
ENSGALG00000030483	NA	0	0	0	0	0	0
ENSGALG00000047195	NA	0	0	0	0	0	0
ENSGALG00000048146	NA	0	0	0	0	1	0
ENSGALG00000047569	NA	0	0	0	0	2	0
ENSGALG00000043137	NA	547	424	375	301	240	105
ENSGALG00000050701	NA	6	0	0	2	0	0
ENSGALG00000036477	CHPF2	308	701	363	295	367	377
ENSGALG00000034573	ABCF2	17510	23158	20336	17421	4752	4950
ENSGALG00000031804	NA	0	0	1	0	0	1
ENSGALG00000032845	ASB10	0	2	1	0	0	1
ENSGALG00000042241	GBX1	0	0	0	0	0	2
ENSGALG00000043576	AGAP3	268	554	370	354	859	785
ENSGALG00000047536	NA	9	47	39	77	132	101
ENSGALG00000033058	FASTK	4	110	27	30	147	261
ENSGALG00000034284	SLC4A2	2	1	0	1	36	31
ENSGALG00000051479	CDK5	96	446	221	391	631	443
ENSGALG00000051417	NA	0	0	0	0	0	0
ENSGALG00000041524	NA	0	0	0	1	0	0
ENSGALG00000031243	ABCB8	130	432	144	295	1877	845
ENSGALG00000038330	ATG9B	5	6	0	10	63	226
ENSGALG00000050508	NOS3	3	18	8	20	210	153
ENSGALG00000042836	KCNH2	0	0	0	19	2	2
ENSGALG00000036190	AOC1	1	2	0	1	0	0
ENSGALG00000052856	NA	0	15	0	0	0	0
ENSGALG00000045908	NA	0	0	0	2	1	0
ENSGALG00000044935	NA	0	0	3	0	0	2
ENSGALG00000047005	NA	0	2	0	0	0	0
ENSGALG00000045021	NA	6	38	12	36	0	4
ENSGALG00000049986	NA	0	0	0	0	1	0
ENSGALG00000038926	NA	22	31	54	65	114	15
ENSGALG00000042642	RARRES2	1489	2838	1806	2261	2065	1945
ENSGALG00000053116	LRRC61	235	313	207	227	123	168
ENSGALG00000053653	ZNF467	17	228	64	51	516	489
ENSGALG00000033417	SSPO	8	19	16	9	22	11
ENSGALG00000048436	gga-mir-10585	0	0	0	0	0	0
ENSGALG00000045581	NA	1	5	5	14	38	13
ENSGALG00000053964	NA	181	511	290	432	272	188
ENSGALG00000029569	NA	16	13	18	28	29	18
ENSGALG00000042908	NA	585	551	354	470	345	108
ENSGALG00000044014	NA	711	1157	1110	1069	507	479
ENSGALG00000034903	NA	16	172	89	167	350	388
ENSGALG00000044098	NA	24	78	49	59	220	68
ENSGALG00000036870	ZNF767	2122	3346	2268	1853	1474	1579
ENSGALG00000039048	ZNF282	0	3	1	0	15	0
ENSGALG00000028985	NA	41	66	17	46	47	38
ENSGALG00000043930	NA	49	76	29	21	99	118
ENSGALG00000023632	NA	116	288	181	239	612	494
ENSGALG00000038657	ZNF777	20	116	27	67	188	199
ENSGALG00000041618	NA	688	2035	1021	1314	2564	2230
ENSGALG00000038469	CDC25A	2562	3580	2442	2560	1827	2131
ENSGALG00000040384	gga-mir-1749	0	0	0	0	0	0
ENSGALG00000040783	MAP4	6278	10529	7383	8188	6263	6848
ENSGALG00000039830	DHX30	1119	2349	1069	1775	2347	2016
ENSGALG00000034961	gga-mir-6710	0	0	0	0	0	1
ENSGALG00000032642	SMARCC1	1628	4155	1609	2531	12365	8451
ENSGALG00000032184	CSPG5	22	75	4	23	232	102
ENSGALG00000031227	ELP6	1360	1428	1424	1759	750	624
ENSGALG00000035768	SCAP	66	208	230	330	930	677
ENSGALG00000038522	NA	22	64	16	6	180	59
ENSGALG00000051792	gga-mir-12238	0	0	0	0	0	0
ENSGALG00000050691	NA	4	10	1	1	27	7
ENSGALG00000052737	NA	0	28	0	0	3	12
ENSGALG00000049288	NA	0	9	0	0	0	3
ENSGALG00000047837	NA	0	0	0	0	0	3
ENSGALG00000051027	NA	0	0	0	0	0	0
ENSGALG00000051118	gga-mir-7461	0	0	0	0	0	3
ENSGALG00000051536	NA	0	0	0	0	0	0
ENSGALG00000054264	NA	7	3	2	1	0	0
ENSGALG00000052121	gga-mir-7461	0	0	0	0	0	0
ENSGALG00000054432	gga-mir-7461	0	0	0	0	0	0
ENSGALG00000050182	NA	2	5	7	0	3	4
ENSGALG00000053593	gga-mir-7461	0	0	0	0	0	0
ENSGALG00000005188	MINDY4	584	942	1033	1169	609	707
ENSGALG00000005209	AQP1	59	83	100	90	21	7
ENSGALG00000053636	NA	0	0	0	0	0	0
ENSGALG00000005212	GHRHR	0	0	0	0	0	0
ENSGALG00000054618	NA	0	0	0	0	1	0
ENSGALG00000049961	NA	0	0	0	0	0	0
ENSGALG00000005223	ADCYAP1R1	140	204	185	364	190	334
ENSGALG00000005242	NA	0	0	1	0	1	53
ENSGALG00000055138	NA	0	0	0	0	0	0
ENSGALG00000005259	VIPR1	69	0	50	43	2	25
ENSGALG00000025188	NA	0	0	0	0	0	0
ENSGALG00000005268	SEC22C	255	267	311	179	130	84
ENSGALG00000030268	NKTR	2212	2971	3433	3385	5699	5374
ENSGALG00000005287	ZBTB47	4	12	48	23	88	70
ENSGALG00000005292	KLHL40	4	0	2	0	0	0
ENSGALG00000005297	HHATL	0	0	0	1	12	21
ENSGALG00000005303	NA	25	15	21	44	52	28
ENSGALG00000053578	NA	38	49	34	59	39	58
ENSGALG00000030775	HIGD1A	3350	3779	3630	3514	879	838
ENSGALG00000005305	ACKR2	25	23	70	64	39	46
ENSGALG00000032534	NA	4	2	1	2	4	17
ENSGALG00000049185	NA	0	0	0	0	0	0
ENSGALG00000026578	NA	0	24	7	1	6	27
ENSGALG00000005328	IBA57	1550	1621	1571	2081	569	1073
ENSGALG00000005331	GJC2	348	341	290	108	15	27
ENSGALG00000005336	GUK1	1809	2685	1981	2261	1611	1643
ENSGALG00000038820	NA	3021	6026	3538	4538	4741	4026
ENSGALG00000037519	C1orf35	651	1307	792	951	2514	1540
ENSGALG00000005393	ARF1	69117	63266	71158	81708	9656	12680
ENSGALG00000042657	WNT3A	153	143	180	76	311	251
ENSGALG00000027333	gga-mir-6713	3	4	3	0	7	0
ENSGALG00000005401	WNT9A	0	108	47	75	10	55
ENSGALG00000051609	NA	0	0	0	0	0	1
ENSGALG00000052989	NA	0	0	0	0	2	0
ENSGALG00000005412	SNAP47	653	527	709	733	57	217
ENSGALG00000005417	JMJD4	2079	2384	2388	2988	711	743
ENSGALG00000005430	ALS2CL	86	283	147	149	153	73
ENSGALG00000046808	gga-mir-1639	0	0	0	0	0	0
ENSGALG00000046998	NA	0	0	0	0	3	5
ENSGALG00000053965	NA	0	0	1	0	0	0
ENSGALG00000053109	NA	9	0	1	23	2	0
ENSGALG00000005448	MYL3	143	171	162	120	79	158
ENSGALG00000048014	NA	0	3	0	2	4	1
ENSGALG00000005476	PTH1R	91	71	152	97	197	213
ENSGALG00000021798	gga-mir-460a	0	0	0	0	2	0
ENSGALG00000052167	NA	0	0	0	0	0	0
ENSGALG00000005487	CCDC12	8052	13052	9357	11438	5026	6508
ENSGALG00000025201	gga-mir-1706	0	0	0	0	0	0
ENSGALG00000039120	NBEAL2	125	281	184	157	461	490
ENSGALG00000043906	NA	21	68	75	73	10	18
ENSGALG00000044874	NA	0	0	0	7	22	1
ENSGALG00000042051	SETD2	1204	2962	1405	2047	3217	2760
ENSGALG00000005517	KIF9	91	251	195	407	369	347
ENSGALG00000005582	KLHL18	1055	2737	1640	2036	2288	1747
ENSGALG00000034150	CATHL3	4	12	5	2	16	1
ENSGALG00000019696	CATHL2	0	0	0	1	0	0
ENSGALG00000027490	CATHB1	0	1	0	0	0	2
ENSGALG00000027973	CATHL1	0	1	6	0	15	3
ENSGALG00000038102	TBRG4	2968	7789	4584	5688	1983	2344
ENSGALG00000025355	RF00392	0	0	6	2	0	8
ENSGALG00000017836	RF00392	3	6	11	3	6	21
ENSGALG00000025361	RF00392	0	3	0	0	0	0
ENSGALG00000026888	RF00392	2	12	28	3	66	63
ENSGALG00000050931	NA	152	327	147	77	550	328
ENSGALG00000005612	CCM2	99	343	200	215	417	441
ENSGALG00000027320	RF00411	264	334	464	223	337	601
ENSGALG00000005644	MYO1G	0	0	4	0	2	18
ENSGALG00000029857	NA	0	0	21	0	57	0
ENSGALG00000053418	NA	11	0	6	0	0	0
ENSGALG00000005657	CRHR2	283	465	203	147	34	93
ENSGALG00000005661	NA	0	0	2	21	0	0
ENSGALG00000005694	GARS	15675	13886	15343	12761	3574	2909
ENSGALG00000049955	NA	7	3	4	1	2	6
ENSGALG00000052847	NA	0	1	0	0	1	0
ENSGALG00000054328	NA	0	0	0	0	0	0
ENSGALG00000005710	CTDSPL	835	1158	1032	973	2402	2214
ENSGALG00000018279	gga-mir-26a	14	9	14	4	16	28
ENSGALG00000005763	VILL	374	593	552	521	170	358
ENSGALG00000005805	PLCD1	1028	1313	1186	2098	721	932
ENSGALG00000005826	DLEC1	55	170	143	13	123	190
ENSGALG00000025663	RF00026	0	0	0	0	0	0
ENSGALG00000005860	ACAA1	320	566	386	479	409	359
ENSGALG00000005884	MAPKKK3L	150	167	114	255	581	423
ENSGALG00000049540	NA	0	0	17	19	0	2
ENSGALG00000053340	NA	2	0	0	0	0	0
ENSGALG00000005947	MYD88	768	790	597	701	261	126
ENSGALG00000005979	OXSR1	1162	1320	1252	1753	1752	1605
ENSGALG00000027644	gga-mir-6610	0	0	0	0	0	0
ENSGALG00000006018	NA	0	0	0	0	4	0
ENSGALG00000005934	NA	4	0	1	0	1	2
ENSGALG00000050406	NA	18	7	26	30	31	39
ENSGALG00000006025	XIRP1	4	32	37	2	2	33
ENSGALG00000049302	NA	1	0	0	0	4	1
ENSGALG00000027905	CSRNP1	219	449	280	320	337	241
ENSGALG00000006033	GORASP1	3375	3901	4012	3722	730	921
ENSGALG00000006052	WDR48	4433	3930	4281	4845	1381	1351
ENSGALG00000027702	SCN11A	0	0	0	0	0	0
ENSGALG00000006072	SCN10A	0	3	0	0	0	0
ENSGALG00000006112	SCN5A	156	150	139	105	53	66
ENSGALG00000006153	EXOG	1648	2146	1946	1828	940	892
ENSGALG00000006158	ACVR2B	21246	31303	23045	15023	6428	8831
ENSGALG00000028088	gga-mir-6600	5	1	6	0	11	6
ENSGALG00000048196	NA	27	39	13	16	15	25
ENSGALG00000048688	NA	41	31	42	0	0	0
ENSGALG00000027044	RF02271	3	3	7	0	0	0
ENSGALG00000053252	NA	18	0	42	0	21	54
ENSGALG00000053090	NA	0	0	0	0	1	0
ENSGALG00000006173	XYLB	821	793	944	942	239	398
ENSGALG00000047432	NA	14	4	2	17	30	1
ENSGALG00000023454	C9ORF152	0	2	8	7	0	0
ENSGALG00000006181	NUB1	769	979	911	1047	662	516
ENSGALG00000019690	WDR86	770	1337	1269	1106	195	223
ENSGALG00000006189	CRYGN	34	34	30	3	74	99
ENSGALG00000039880	RHEB	1935	3561	2559	3457	1818	1672
ENSGALG00000006219	PRKAG2	10149	9627	10186	10684	1485	1860
ENSGALG00000053469	NA	18	31	42	4	33	31
ENSGALG00000047556	gga-mir-12239	0	0	0	0	0	0
ENSGALG00000050097	NA	28	0	0	0	0	11
ENSGALG00000006233	GALNT11	2730	3180	3321	5930	2051	2250
ENSGALG00000049653	KMT2C	5300	6337	6371	4500	10182	11494
ENSGALG00000029137	gga-mir-6554	0	0	0	0	0	0
ENSGALG00000026865	XRCC2	755	684	739	603	103	154
ENSGALG00000054055	NA	12	6	7	5	3	17
ENSGALG00000006292	NA	2237	2953	2391	2895	612	868
ENSGALG00000052510	NA	0	0	0	0	0	0
ENSGALG00000049871	NA	1	4	0	5	1	17
ENSGALG00000054357	NA	0	0	0	0	0	0
ENSGALG00000047832	NA	0	0	0	0	0	0
ENSGALG00000047146	NA	0	2	4	0	0	16
ENSGALG00000050215	NA	0	0	0	0	0	0
ENSGALG00000041791	DPP6	234	268	261	113	77	127
ENSGALG00000036064	PAXIP1	1641	1347	1847	1275	984	960
ENSGALG00000006362	HTR5A	0	0	0	0	0	0
ENSGALG00000054419	NA	0	0	2	0	0	5
ENSGALG00000048424	NA	0	7	0	3	18	3
ENSGALG00000017394	INSIG1	769	1292	1005	809	1389	1343
ENSGALG00000041295	EN2	10	25	16	12	72	17
ENSGALG00000054309	NA	23	55	54	10	3	7
ENSGALG00000006372	RBM33	1217	2336	2314	1994	3550	3613
ENSGALG00000006379	SHH	185	341	206	3	21	26
ENSGALG00000049797	NA	0	0	1	0	3	0
ENSGALG00000053646	NA	9	2	0	1	0	0
ENSGALG00000052722	NA	0	4	0	0	0	0
ENSGALG00000047183	NA	7	6	0	1	1	5
ENSGALG00000006387	RNF32	3	4	12	3	13	35
ENSGALG00000030379	LMBR1	1300	1838	1458	1383	1724	1510
ENSGALG00000048552	NA	1	15	16	11	18	10
ENSGALG00000006437	NOM1	268	396	222	382	248	288
ENSGALG00000041154	MNX1	0	0	1	1	10	2
ENSGALG00000006461	UBE3C	606	449	595	652	202	330
ENSGALG00000047674	NA	0	9	0	0	0	0
ENSGALG00000006477	DNAJB6	4149	5188	5010	4729	2254	2526
ENSGALG00000052613	NA	6	9	5	1	64	58
ENSGALG00000049924	NA	0	2	7	0	0	0
ENSGALG00000054693	NA	19	21	29	2	0	7
ENSGALG00000052184	NA	963	1972	1416	907	1224	1193
ENSGALG00000030054	PTPRN2	1198	1051	1029	593	216	396
ENSGALG00000021727	gga-mir-153	1	2	0	0	0	0
ENSGALG00000051343	NA	0	2	1	0	0	0
ENSGALG00000006525	NCAPG2	1115	861	1206	841	606	464
ENSGALG00000006542	ESYT2	193	91	265	149	54	189
ENSGALG00000049129	NA	0	2	8	0	0	29
ENSGALG00000006558	WDR60	189	418	186	300	582	490
ENSGALG00000050321	NA	0	0	0	0	0	5
ENSGALG00000006575	VIPR2	0	2	2	0	2	15
ENSGALG00000048545	NA	0	0	0	0	0	0
ENSGALG00000053524	NA	0	0	1	0	0	0
ENSGALG00000052843	NA	0	0	0	0	0	1
ENSGALG00000006599	ZMYND11	1909	2550	2069	2602	1843	1555
ENSGALG00000006652	DIP2C	454	441	460	339	562	605
ENSGALG00000049822	NA	0	0	0	0	0	0
ENSGALG00000049149	NA	0	1	0	0	0	0
ENSGALG00000053201	NA	0	0	0	0	0	0
ENSGALG00000006672	LARP4B	859	1325	838	983	2330	2198
ENSGALG00000006703	GTPBP4	18490	21484	18956	16419	8983	9808
ENSGALG00000006723	NA	9701	9779	10386	9267	2704	3608
ENSGALG00000006749	WDR37	1764	1468	1773	1487	492	688
ENSGALG00000006797	ADARB2	69	191	143	57	170	33
ENSGALG00000050786	NA	3	4	9	0	0	9
ENSGALG00000048483	NA	22	18	41	0	0	20
ENSGALG00000048921	NA	0	0	0	0	0	0
ENSGALG00000052864	NA	108	63	144	155	79	41
ENSGALG00000051215	NA	3	0	3	0	0	0
ENSGALG00000050431	NA	0	0	0	0	19	0
ENSGALG00000006939	PFKP	15781	13156	15569	13394	7476	8543
ENSGALG00000007036	PITRM1	3098	3008	3678	3566	1924	1415
ENSGALG00000053946	NA	0	0	0	6	0	4
ENSGALG00000054021	NA	28	29	22	26	28	22
ENSGALG00000033178	KLF6	1977	2067	2512	3095	2580	2762
ENSGALG00000047913	NA	0	0	0	1	0	0
ENSGALG00000055126	NA	4	0	2	0	0	0
ENSGALG00000047445	NA	0	1	0	4	0	0
ENSGALG00000026073	gga-mir-6628	0	0	0	0	0	0
ENSGALG00000048782	NA	0	0	0	0	0	0
ENSGALG00000055051	NA	4	0	17	5	9	0
ENSGALG00000051249	NA	19	0	0	2	2	0
ENSGALG00000049430	NA	25	44	45	48	28	49
ENSGALG00000039999	NA	252	550	286	298	483	787
ENSGALG00000007065	GJD4	28	32	0	0	17	0
ENSGALG00000007076	CCNY	13	6	17	8	13	5
ENSGALG00000007082	CREM	303	379	377	498	212	137
ENSGALG00000007095	CUL2	5320	4520	5138	6372	2281	3031
ENSGALG00000051541	NA	0	0	0	0	0	0
ENSGALG00000007125	PARD3	2367	3161	2906	2549	3088	3427
ENSGALG00000052446	NA	37	5	86	8	180	148
ENSGALG00000047831	NA	38	6	33	9	13	34
ENSGALG00000052963	NA	0	0	2	0	1	6
ENSGALG00000051243	NA	0	0	0	0	0	0
ENSGALG00000027421	RF02271	0	0	0	0	0	0
ENSGALG00000007140	NRP1	347	389	602	211	186	69
ENSGALG00000047326	NA	31	7	12	0	18	54
ENSGALG00000007145	ITGB1	5880	8932	6901	9338	6924	7055
ENSGALG00000007169	EPC1	211	374	440	329	818	556
ENSGALG00000025176	gga-mir-1768	0	2	0	0	0	2
ENSGALG00000051873	NA	6	0	17	6	11	5
ENSGALG00000007215	KIF5B	871	1276	990	886	1719	1472
ENSGALG00000007254	ARHGAP12	2642	2541	2924	3864	2282	2075
ENSGALG00000007260	ZEB1	1297	1876	1000	1032	1099	1290
ENSGALG00000050129	NA	85	12	67	0	5	8
ENSGALG00000048976	NA	0	0	0	0	0	1
ENSGALG00000048340	NA	0	0	0	0	0	0
ENSGALG00000052772	NA	0	0	0	0	0	0
ENSGALG00000007266	ZNF438	347	691	813	482	227	471
ENSGALG00000007331	SVIL	1711	2996	2423	2906	3267	4012
ENSGALG00000051872	NA	0	2	1	0	0	0
ENSGALG00000007346	JCAD	628	1184	818	691	583	598
ENSGALG00000007351	MTPAP	1560	2289	1986	1970	1326	1330
ENSGALG00000007356	MAP3K8	33	96	57	174	15	45
ENSGALG00000052174	NA	3	0	1	5	0	1
ENSGALG00000040993	BAMBI	601	745	636	754	1199	1076
ENSGALG00000035281	WAC	594	571	700	611	603	446
ENSGALG00000039186	NA	842	1623	973	1014	1030	943
ENSGALG00000052906	NA	16	10	9	6	0	0
ENSGALG00000007408	MPP7	2452	2430	2806	3069	1370	1411
ENSGALG00000007417	ARMC4	246	273	286	242	82	291
ENSGALG00000007426	MKX	7	7	2	0	0	0
ENSGALG00000007435	RAB18	13457	12869	15387	16008	1998	3307
ENSGALG00000053860	NA	0	2	0	12	9	16
ENSGALG00000048869	NA	0	3	14	6	11	1
ENSGALG00000050814	NA	0	8	4	4	24	1
ENSGALG00000007492	YME1L1	6046	6055	6379	6919	2261	2785
ENSGALG00000007507	MASTL	1328	1423	1501	1364	589	611
ENSGALG00000007519	ACBD5	654	874	761	628	660	432
ENSGALG00000054462	NA	0	0	1	0	0	2
ENSGALG00000007547	ABI1	1511	2629	1918	2150	1860	2170
ENSGALG00000007559	PDSS1	1610	1925	2016	1490	487	403
ENSGALG00000007564	NA	85	186	106	53	96	131
ENSGALG00000007579	APBB1IP	110	123	110	113	181	159
ENSGALG00000040436	GAD2	101	127	121	39	12	47
ENSGALG00000007647	MYO3A	180	160	330	178	84	127
ENSGALG00000007667	GPR158	5	26	6	28	57	44
ENSGALG00000053155	NA	14	4	14	9	0	4
ENSGALG00000007677	THNSL1	1748	1090	1295	1558	222	333
ENSGALG00000007680	ENKUR	205	436	256	356	288	236
ENSGALG00000007694	PRTFDC1	510	448	617	774	168	184
ENSGALG00000007721	ARHGAP21	988	1021	847	954	2497	2084
ENSGALG00000007766	KIAA1217	1588	1380	1302	1560	2116	2082
ENSGALG00000053613	NA	17	13	20	13	5	48
ENSGALG00000051600	NA	0	0	0	0	0	7
ENSGALG00000026426	NA	104	155	112	150	28	69
ENSGALG00000027144	PTF1A	0	4	0	0	0	3
ENSGALG00000029426	NA	8	7	2	1	0	2
ENSGALG00000007864	ARMC3	9	21	0	4	9	1
ENSGALG00000054467	NA	3	0	0	0	0	0
ENSGALG00000007877	PIP4K2A	1099	1357	962	1255	1524	1674
ENSGALG00000049482	NA	10	4	13	0	4	16
ENSGALG00000045235	NA	20	2	8	30	22	34
ENSGALG00000048279	NA	0	4	0	38	3	0
ENSGALG00000007892	SPAG6	268	355	265	208	84	82
ENSGALG00000048287	gga-mir-12240	0	1	0	0	0	0
ENSGALG00000041267	BMI1	366	948	677	669	1362	764
ENSGALG00000007900	COMMD3	6900	12869	8242	8031	4905	5371
ENSGALG00000052904	NA	0	0	0	0	0	0
ENSGALG00000007914	DNAJC1	2409	4328	2671	3277	4111	3591
ENSGALG00000007928	MLLT10	2028	1730	2161	1856	1566	1261
ENSGALG00000017395	NA	295	544	282	270	908	754
ENSGALG00000028621	RF00001	0	0	0	0	0	0
ENSGALG00000053717	NA	6	0	0	1	0	0
ENSGALG00000037769	NEBL	179	379	183	413	567	383
ENSGALG00000031565	NEBL	123	62	136	59	249	339
ENSGALG00000050136	NA	0	0	0	0	0	0
ENSGALG00000007956	PLXDC2	391	426	282	630	414	381
ENSGALG00000051791	NA	1	4	0	6	0	32
ENSGALG00000008498	MALRD1	0	49	28	21	5	5
ENSGALG00000048892	NA	0	4	4	0	0	2
ENSGALG00000008557	ARL5B	4908	4876	5818	5212	1537	1299
ENSGALG00000008564	NSUN6	172	317	159	357	91	81
ENSGALG00000008591	CACNB2	42	109	102	79	28	31
ENSGALG00000008602	SLC39A12	553	378	508	91	53	55
ENSGALG00000053366	NA	14	4	32	6	17	11
ENSGALG00000028357	MMR1L2	0	0	0	1	0	0
ENSGALG00000027765	MMR1L1	0	0	0	0	0	0
ENSGALG00000008638	MMR1L3	0	0	0	8	0	1
ENSGALG00000028304	MMR1L4	0	5	0	0	0	2
ENSGALG00000008629	MRC1	34	53	128	26	37	10
ENSGALG00000035287	STAM	65	62	32	18	77	45
ENSGALG00000055020	NA	4	1	0	0	0	0
ENSGALG00000008659	HACD1	155	283	207	274	99	111
ENSGALG00000008677	VIM	9354	15244	10768	13896	8405	8086
ENSGALG00000008671	ST8SIA6	266	372	257	185	81	79
ENSGALG00000025240	gga-mir-1661	3	3	4	0	8	13
ENSGALG00000008686	TRDMT1	1884	1257	1753	1648	450	617
ENSGALG00000008704	CUBN	32	33	50	33	31	25
ENSGALG00000040891	RSU1	4621	4651	4376	4648	2095	1877
ENSGALG00000032554	C1QL3	0	19	24	6	85	28
ENSGALG00000008728	PTER	1020	1708	1728	1682	414	540
ENSGALG00000049033	NA	6	0	5	0	2	0
ENSGALG00000008739	MINDY3	1381	1243	1405	1566	663	632
ENSGALG00000008747	ITGA8	382	244	392	157	109	89
ENSGALG00000047520	NA	0	0	0	0	0	0
ENSGALG00000052774	NA	9	0	2	0	0	0
ENSGALG00000008764	FAM171A1	726	784	804	1151	423	455
ENSGALG00000008791	NMT2	1064	1223	1587	1120	779	647
ENSGALG00000008794	RPP38	1709	2002	1671	1736	799	1056
ENSGALG00000019663	ACBD7	269	477	346	1031	1016	806
ENSGALG00000043833	OLAH	3	23	20	14	48	58
ENSGALG00000008813	CROT	4476	3764	4048	5696	1369	1310
ENSGALG00000008912	ABCB1	2	1	11	13	0	3
ENSGALG00000053916	ABCB1	4	19	29	0	1	1
ENSGALG00000008954	RUNDC3B	92	75	107	95	100	85
ENSGALG00000019662	SLC25A40	30	13	34	8	0	24
ENSGALG00000008963	DBF4	3497	3798	3464	3243	1472	1401
ENSGALG00000008976	ADAM22	41	23	39	36	79	62
ENSGALG00000008985	SRI	7743	8249	8694	9124	1454	2059
ENSGALG00000008997	STEAP4	0	0	0	0	0	1
ENSGALG00000009004	ZNF804B	51	117	106	13	6	2
ENSGALG00000047295	NA	1	0	0	0	0	0
ENSGALG00000028860	RF02271	3	1	0	0	0	6
ENSGALG00000052325	NA	12	14	19	1	0	12
ENSGALG00000048903	NA	0	0	0	0	0	5
ENSGALG00000009006	NA	62	55	35	140	48	73
ENSGALG00000009017	STEAP2	80	107	120	272	29	69
ENSGALG00000009026	CFAP69	247	255	316	414	256	267
